transactionID,date,currency,value,payerID,payerCountry,beneficiaryID,beneficiaryCountry,payerType,reason,payerFirstName,payerLastName,payerPostcode,payerAccountID,payerPhotoID,payerCompanyName,payerCompaniesHouseNumber,payerCreatedAt,payerRisk,payerPastYearExpectedTotal,payerPastNinetyDayExpectedTotal,payerPastNinetyDaysMinumumTransactionValue,payerAcceptablePostcodeList,beneficiaryAccountID,beneficiaryAccountIBAN,beneficiaryAccountCountry,beneficiaryFirstName,beneficiaryLastName,beneficiaryPostcode,beneficiaryCreatedAt,beneficiaryCompanyName,senderID,receiverAccountCountry
txn9198006.1696170672693,2023-09-30T00:00:00.000Z,USD,82,payer1,GB,bene1,Germany,individual,,Rylan,Glover,BL21BT,test-payer-aac-20-301,,,,2022-10-01T14:31:12.692Z,,,,,,test-bene-acc-20-301,,Germany,,,BB74RR,,,,Germany
txn7870452.1696170672693,2023-09-30T00:00:00.000Z,AED,76,payer1,GB,bene1,Germany,individual,,Antonella,Glover,B774PJ,test-payer-aac-20-301,,,,2022-10-01T14:31:12.693Z,,,,,,test-bene-acc-20-301,,Germany,,,BH241UX,,,,Germany
txn6056929.1696170672694,2023-09-30T00:00:00.000Z,AFN,35,payer1,GB,bene1,Germany,individual,,Charlee,Hurst,BA129DG,test-payer-aac-20-301,,,,2022-10-01T14:31:12.694Z,,,,,,test-bene-acc-20-301,,Germany,,,BH93EZ,,,,Germany
txn7540087.1696170672694,2023-09-30T00:00:00.000Z,ALL,32,payer1,GB,bene1,Germany,individual,,Wilder,Terrell,B771GU,test-payer-aac-20-301,,,,2022-10-01T14:31:12.694Z,,,,,,test-bene-acc-20-301,,Germany,,,AL11SJ,,,,Germany
txn5742637.1696170672694,2023-09-30T00:00:00.000Z,AMD,61,payer1,GB,bene1,Germany,individual,,Charlee,Pugh,BD24JF,test-payer-aac-20-301,,,,2022-10-01T14:31:12.694Z,,,,,,test-bene-acc-20-301,,Germany,,,BA32FD,,,,Germany
txn8306072.1696170672694,2023-09-30T00:00:00.000Z,ANG,25,payer1,GB,bene1,Germany,individual,,Marceline,Terrell,BB27QN,test-payer-aac-20-301,,,,2022-10-01T14:31:12.694Z,,,,,,test-bene-acc-20-301,,Germany,,,BD146DU,,,,Germany
txn8486357.1696170672695,2023-09-30T00:00:00.000Z,AOA,35,payer1,GB,bene1,Germany,individual,,Antonella,McGee,B775FQ,test-payer-aac-20-301,,,,2022-10-01T14:31:12.695Z,,,,,,test-bene-acc-20-301,,Germany,,,AL14AE,,,,Germany
txn2184299.1696170672695,2023-09-30T00:00:00.000Z,ARS,40,payer1,GB,bene1,Germany,individual,,Analia,Terrell,BD24JF,test-payer-aac-20-301,,,,2022-10-01T14:31:12.695Z,,,,,,test-bene-acc-20-301,,Germany,,,AB425ET,,,,Germany
txn6770480.1696170672695,2023-09-30T00:00:00.000Z,AUD,8,payer1,GB,bene1,Germany,individual,,Rylan,Terrell,BL40HJ,test-payer-aac-20-301,,,,2022-10-01T14:31:12.695Z,,,,,,test-bene-acc-20-301,,Germany,,,BA23LG,,,,Germany
txn8330931.1696170672695,2023-09-30T00:00:00.000Z,AWG,5,payer1,GB,bene1,Germany,individual,,Samir,Peralta,BH93EZ,test-payer-aac-20-301,,,,2022-10-01T14:31:12.695Z,,,,,,test-bene-acc-20-301,,Germany,,,B314PJ,,,,Germany
txn2800817.1696170672696,2023-09-30T00:00:00.000Z,AZN,36,payer1,GB,bene1,Germany,individual,,Wilder,Bautista,BB27LU,test-payer-aac-20-301,,,,2022-10-01T14:31:12.696Z,,,,,,test-bene-acc-20-301,,Germany,,,BL64RS,,,,Germany
txn6296708.1696170672696,2023-09-30T00:00:00.000Z,BAM,13,payer1,GB,bene1,Germany,individual,,Analia,Terrell,BB74RR,test-payer-aac-20-301,,,,2022-10-01T14:31:12.696Z,,,,,,test-bene-acc-20-301,,Germany,,,B302SA,,,,Germany
txn230217.1696170672696,2023-09-30T00:00:00.000Z,BBD,98,payer1,GB,bene1,Germany,individual,,Samir,Hurst,BH204RY,test-payer-aac-20-301,,,,2022-10-01T14:31:12.696Z,,,,,,test-bene-acc-20-301,,Germany,,,AB439EX,,,,Germany
txn8170475.1696170672696,2023-09-30T00:00:00.000Z,BDT,9,payer1,GB,bene1,Germany,individual,,Alexandra,Peralta,AB556TN,test-payer-aac-20-301,,,,2022-10-01T14:31:12.696Z,,,,,,test-bene-acc-20-301,,Germany,,,BL32EQ,,,,Germany
txn4997779.1696170672697,2023-09-30T00:00:00.000Z,BGN,47,payer1,GB,bene1,Germany,individual,,Wilder,Glover,B771GU,test-payer-aac-20-301,,,,2022-10-01T14:31:12.697Z,,,,,,test-bene-acc-20-301,,Germany,,,B771GU,,,,Germany
txn2057846.1696170672697,2023-09-30T00:00:00.000Z,BHD,79,payer1,GB,bene1,Germany,individual,,Charlee,Henderson,BH241UX,test-payer-aac-20-301,,,,2022-10-01T14:31:12.697Z,,,,,,test-bene-acc-20-301,,Germany,,,BA16BZ,,,,Germany
txn1084125.1696170672697,2023-09-30T00:00:00.000Z,BIF,36,payer1,GB,bene1,Germany,individual,,Marceline,Lucas,B680QD,test-payer-aac-20-301,,,,2022-10-01T14:31:12.697Z,,,,,,test-bene-acc-20-301,,Germany,,,BH241UX,,,,Germany
txn7683407.1696170672697,2023-09-30T00:00:00.000Z,BMD,31,payer1,GB,bene1,Germany,individual,,Analia,Pugh,BA16BZ,test-payer-aac-20-301,,,,2022-10-01T14:31:12.697Z,,,,,,test-bene-acc-20-301,,Germany,,,AL60RN,,,,Germany
